Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
2500,8,11,26,5,1,1,8
2525,8,9,27,7,1,4,8
2550,9,10,24,7,1,3,7
2575,8,6,25,8,1,3,9
2600,11,8,28,9,1,4,6
2625,11,9,28,7,1,3,7
2650,12,7,26,5,2,4,7
2675,11,11,25,12,1,3,8
2700,11,10,23,11,1,3,8
2725,10,8,29,13,3,4,6
2750,9,12,22,14,1,3,11
2775,9,9,30,15,3,5,10
2800,9,8,29,13,1,6,10
2825,8,11,27,14,0,4,12
2850,9,11,22,15,3,5,9
2875,7,10,24,12,2,4,11
2900,9,11,26,13,2,3,9
2925,8,9,28,12,3,7,6
2950,7,12,26,13,2,5,10
2975,8,12,26,15,1,6,9
3000,9,9,25,12,1,5,10
3025,9,11,26,12,1,6,10
3050,8,13,23,14,2,7,8
3075,8,14,22,17,2,6,9
3100,7,13,25,15,2,5,12
3125,8,15,27,13,1,6,9
3150,5,13,27,14,1,6,10
3175,6,14,26,14,1,5,12
3200,7,13,23,14,2,7,10
3225,6,16,27,14,2,5,10
3250,6,14,26,14,3,8,9
3275,5,12,27,12,1,8,11
3300,4,14,23,15,1,8,11
3325,5,14,24,16,1,8,14
3350,6,15,21,14,1,9,13
3375,8,12,24,13,1,9,14
3400,8,14,22,15,1,9,13
3425,8,16,25,15,1,7,11
3450,7,15,27,12,1,8,9
3475,6,16,21,13,3,9,10
3500,7,15,21,13,3,11,6
3525,8,16,19,12,2,9,10
3550,8,14,22,14,2,7,13
3575,8,14,21,14,3,10,7
3600,8,12,21,14,3,10,9
3625,7,13,27,15,4,10,6
3650,8,12,25,13,4,9,8
3675,9,15,22,12,3,12,6
3700,9,13,20,15,4,10,10
3725,9,14,23,13,4,10,7
3750,10,14,24,13,4,8,9
3775,8,18,22,13,3,8,8
3800,7,15,25,13,3,10,7
3825,6,14,29,13,3,10,6
3850,7,13,28,12,3,10,6
3875,5,15,22,14,2,9,8
3900,7,14,25,14,3,11,8
3925,7,13,26,15,2,9,11
3950,7,12,28,14,3,11,9
3975,6,14,26,16,3,9,9
4000,8,13,26,16,3,9,9
4025,9,12,25,18,3,10,9
4050,10,12,23,15,3,10,9
4075,9,14,19,15,4,11,7
4100,11,15,16,12,4,10,8
4125,11,13,21,13,5,10,6
4150,9,11,23,14,5,10,8
4175,9,14,23,11,3,9,9
4200,8,13,24,12,3,10,6
4225,8,15,25,11,3,9,10
4250,8,13,25,13,3,10,10
4275,9,15,23,13,3,11,7
4300,9,15,22,10,4,8,9
4325,9,13,27,14,3,8,9
4350,8,12,28,14,3,7,10
4375,7,13,31,14,2,8,9
4400,6,14,29,14,2,8,11
4425,6,13,27,14,2,7,11
4450,7,15,26,13,3,8,10
4475,7,12,30,13,3,8,9
4500,8,14,28,15,2,9,7
4525,7,14,30,14,5,8,7
4550,7,14,29,13,2,9,10
4575,8,14,28,13,3,9,9
4600,9,13,29,12,2,9,9
4625,8,15,25,13,2,8,9
4650,10,14,27,15,1,8,12
4675,8,12,28,16,2,8,11
4700,9,10,23,16,2,10,11
4725,10,12,27,16,1,7,13
4750,9,10,31,16,1,9,12
4775,10,12,30,14,2,8,10
4800,8,13,28,12,3,9,9
4825,10,13,28,15,3,8,10
4850,7,12,27,14,4,10,9
4875,9,13,25,11,2,10,11
4900,9,12,30,14,0,10,11
4925,9,13,29,13,2,8,11
4950,10,14,28,11,2,10,10
4975,12,13,23,11,3,12,7
5000,12,13,24,12,3,12,6
5025,11,14,25,13,3,11,6
5050,12,14,25,11,2,11,7
5075,9,13,25,9,2,10,11
5100,13,13,25,7,2,10,11
5125,13,16,20,7,2,12,7
5150,12,15,19,11,2,10,11
5175,12,16,20,9,2,12,7
5200,12,19,20,12,2,12,7
5225,11,16,21,10,3,13,4
5250,11,20,18,8,0,8,14
5275,10,15,19,6,1,10,12
5300,10,14,19,12,1,10,13
5325,11,14,20,7,2,12,8
5350,11,11,22,8,2,11,12
5375,13,13,21,11,1,9,12
5400,9,11,26,11,2,13,9
5425,9,11,27,9,2,10,10
5450,11,12,19,9,1,10,12
5475,10,11,20,9,3,7,15
5500,10,14,21,8,1,9,12
5525,11,12,23,14,2,10,10
5550,11,11,22,10,1,10,13
5575,10,11,25,12,1,10,12
5600,9,13,28,12,1,8,12
5625,10,13,21,12,1,9,12
5650,10,12,21,11,2,9,11
5675,9,12,25,12,1,8,12
5700,8,11,26,13,2,10,11
5725,9,8,30,11,1,10,12
5750,10,10,26,9,1,9,12
5775,12,11,24,11,1,9,12
5800,11,13,19,10,1,11,12
5825,9,11,23,11,1,11,12
5850,12,7,22,9,3,13,11
5875,11,10,24,9,2,12,10
5900,11,12,24,8,2,11,9
5925,9,14,24,12,3,12,10
5950,9,10,26,11,2,10,11
5975,9,13,22,10,2,8,12
6000,9,13,22,11,2,8,14
6025,10,14,20,10,2,9,13
6050,10,13,18,13,3,9,13
6075,10,13,22,10,2,8,13
6100,11,14,20,9,1,7,15
6125,11,13,21,10,2,7,16
6150,11,12,23,12,2,9,12
6175,14,13,23,12,2,10,10
6200,14,13,17,11,1,10,13
6225,13,14,20,12,2,9,13
6250,12,12,17,13,2,11,15
6275,11,13,19,12,2,10,15
6300,13,14,18,12,1,10,14
6325,12,12,20,9,2,9,14
6350,12,12,20,9,3,8,13
6375,11,10,19,13,3,9,14
6400,13,10,19,10,4,10,10
6425,14,11,19,11,3,10,9
6450,12,16,19,10,4,10,9
6475,10,14,23,11,4,10,10
6500,12,16,19,7,2,10,10
6525,12,14,15,11,3,12,8
6550,12,14,18,11,2,11,11
6575,15,16,14,11,2,11,12
6600,10,16,21,10,4,10,9
6625,12,13,20,12,4,9,11
6650,14,13,21,10,3,12,9
6675,14,14,19,10,2,13,9
6700,9,15,21,8,2,12,12
6725,11,14,19,9,4,11,11
6750,11,14,18,9,3,10,11
6775,11,14,21,8,2,10,11
6800,12,14,22,7,3,11,9
6825,9,14,23,5,4,11,8
6850,13,14,18,9,4,10,11
6875,10,14,18,9,4,10,11
6900,11,15,19,7,5,10,9
6925,11,15,17,7,4,11,10
6950,10,16,21,8,3,11,12
6975,9,13,22,7,5,12,10
7000,8,12,24,10,4,11,12
7025,11,13,16,5,4,12,10
7050,11,16,13,5,3,12,13
7075,9,14,16,5,3,12,13
7100,9,13,22,6,3,11,12
7125,10,12,21,8,3,11,12
7150,11,16,18,7,3,11,11
7175,12,14,19,7,3,12,11
7200,12,12,19,7,3,11,12
7225,11,12,21,9,4,12,11
7250,11,11,17,11,3,10,14
7275,12,15,13,12,3,11,12
7300,11,12,19,9,3,11,11
7325,11,10,20,10,4,11,13
7350,10,12,18,13,3,12,14
7375,10,12,21,10,3,11,14
7400,9,13,17,14,4,12,14
7425,8,10,25,12,3,10,14
7450,9,8,22,13,3,9,18
7475,9,10,25,15,3,10,14
7500,8,10,25,14,4,13,10
7525,8,10,25,13,2,11,15
7550,10,12,20,13,3,14,13
7575,9,10,20,13,4,13,14
7600,7,11,23,14,3,10,15
7625,7,10,26,15,3,11,14
7650,9,10,22,13,4,13,13
7675,10,11,18,16,3,11,16
7700,11,10,22,14,4,12,12
7725,10,9,25,17,3,11,14
7750,10,11,20,18,3,12,15
7775,10,12,21,15,4,12,16
7800,9,12,20,14,4,12,17
7825,6,8,27,17,3,14,16
7850,8,9,18,16,4,12,20
7875,9,9,20,15,3,12,18
7900,8,8,19,16,3,13,19
7925,8,9,19,13,3,13,19
7950,8,6,19,16,4,16,15
7975,8,9,20,14,5,13,16
8000,9,8,20,17,3,13,20
8025,7,8,24,17,4,14,17
8050,5,9,25,16,3,14,19
8075,5,9,25,18,3,13,20
8100,6,9,24,17,4,15,18
8125,6,10,22,17,4,14,18
8150,6,10,24,17,4,13,17
8175,5,9,28,15,4,14,16
8200,5,8,28,16,5,15,13
8225,6,10,21,16,6,12,20
8250,5,10,21,15,7,15,17
8275,6,10,21,15,4,14,20
8300,5,9,27,15,4,14,18
8325,5,10,25,15,5,13,18
8350,6,10,27,15,4,13,16
8375,7,9,28,16,3,13,17
8400,7,9,26,14,3,13,20
8425,7,11,28,16,4,12,16
8450,9,11,25,15,4,14,16
8475,9,14,22,12,3,12,18
8500,8,15,23,12,3,14,17
8525,8,10,26,9,2,12,18
8550,8,14,22,11,3,12,18
8575,8,15,23,10,4,14,14
8600,9,13,25,10,4,13,16
8625,11,15,18,12,3,12,16
8650,10,14,16,12,5,12,16
8675,9,13,19,11,6,13,15
8700,9,13,16,13,3,12,19
8725,9,14,19,12,2,13,15
8750,9,12,18,11,4,11,17
8775,10,13,17,12,5,11,16
8800,7,16,18,12,5,12,14
8825,8,13,21,12,3,10,17
8850,10,12,18,14,4,11,16
8875,10,13,18,12,5,14,11
8900,9,13,18,14,4,14,13
8925,9,13,17,13,5,12,14
8950,10,13,17,14,5,13,14
8975,11,14,16,14,4,13,16
9000,10,13,18,13,4,12,16
9025,10,12,18,14,1,12,19
9050,9,13,22,15,2,13,16
9075,9,12,24,16,2,12,17
9100,6,14,25,16,1,11,18
9125,8,12,18,13,2,15,16
9150,9,13,19,13,2,14,15
9175,7,11,25,14,2,12,16
9200,10,13,21,13,4,13,13
9225,8,14,24,14,2,15,13
9250,7,11,26,15,4,14,15
9275,8,17,21,12,6,14,11
9300,9,13,24,13,3,14,14
9325,9,13,23,13,3,12,17
9350,8,11,23,12,4,13,15
9375,8,12,20,15,3,15,15
9400,8,14,18,14,4,14,16
9425,8,15,19,13,2,13,17
9450,6,17,22,12,1,13,17
9475,6,15,24,14,1,13,17
9500,7,16,21,14,1,14,17
9525,7,14,20,14,1,13,20
9550,7,14,23,14,1,15,18
9575,7,15,23,14,1,15,18
9600,5,13,25,15,1,16,17
9625,7,14,23,15,3,15,16
9650,7,16,22,15,1,15,19
9675,6,13,24,15,2,14,19
9700,6,13,24,14,2,14,19
9725,5,15,26,16,3,14,17
9750,5,13,25,14,1,15,17
9775,5,13,26,16,2,14,17
9800,6,11,24,17,1,15,17
9825,6,12,23,17,1,15,18
9850,5,13,20,17,0,16,22
9875,7,12,22,17,3,15,18
9900,5,15,19,19,2,15,17
9925,6,15,21,14,1,16,15
9950,6,15,17,17,3,15,17
9975,6,12,20,18,2,14,21
10000,5,12,18,17,3,16,20
10025,5,12,21,19,3,14,18
10050,5,11,24,20,0,15,20
10075,4,11,21,17,0,14,24
10100,5,13,24,17,1,16,15
10125,5,11,22,18,2,15,15
10150,4,11,23,17,4,16,15
10175,4,11,26,18,2,16,16
10200,5,11,23,16,3,17,15
10225,4,11,22,15,3,16,17
10250,4,10,21,15,3,18,16
10275,5,9,21,16,1,16,19
10300,5,13,19,18,1,15,21
10325,4,14,22,14,2,14,19
10350,6,15,20,15,1,16,17
10375,5,13,23,14,4,17,14
10400,5,12,21,16,3,17,14
10425,6,10,25,17,1,17,15
10450,8,15,21,16,1,15,14
10475,8,13,20,18,1,15,18
10500,7,15,23,13,3,15,13
10525,6,11,23,16,2,16,16
10550,7,12,26,16,2,14,17
10575,5,10,25,15,3,14,15
10600,7,10,25,15,1,15,15
10625,5,11,28,16,1,13,19
10650,3,10,29,17,1,12,22
10675,3,11,31,16,3,13,18
10700,3,11,26,16,3,14,15
10725,4,10,30,15,1,12,19
10750,7,11,28,14,1,12,18
10775,7,12,22,16,0,14,21
10800,6,12,25,14,2,12,19
10825,6,13,22,13,1,12,20
10850,5,12,21,16,1,12,20
10875,8,11,23,13,1,13,17
10900,6,13,25,15,1,13,18
10925,8,13,25,15,2,11,18
10950,6,12,26,13,1,11,19
10975,8,14,22,12,3,12,17
11000,10,9,24,15,0,14,18
11025,8,12,21,11,0,13,22
11050,8,7,25,14,1,13,21
11075,10,9,26,14,1,14,18
11100,9,9,27,16,0,14,20
11125,7,12,27,17,0,15,18
11150,7,10,25,21,2,16,18
11175,8,11,21,15,3,16,17
11200,8,10,26,18,1,16,18
11225,8,11,27,17,1,14,18
11250,7,10,28,17,3,16,14
11275,7,13,23,16,2,15,18
11300,8,11,26,20,4,17,14
11325,7,13,24,17,4,14,17
11350,5,15,22,13,3,16,16
11375,8,13,21,18,3,15,15
11400,7,13,21,17,3,17,16
11425,9,14,20,18,3,16,16
11450,9,14,20,14,3,17,16
11475,7,13,24,17,3,15,17
11500,9,16,18,15,3,16,17
11525,8,15,16,15,3,15,20
11550,7,14,20,16,4,16,18
11575,7,13,20,17,3,17,16
11600,7,14,24,17,3,14,18
11625,7,14,19,14,4,14,18
11650,9,16,18,13,4,15,16
11675,7,16,21,14,5,14,17
11700,6,15,22,15,3,13,19
11725,7,15,21,16,5,14,16
11750,6,14,23,11,6,15,17
11775,5,15,22,16,4,13,18
11800,5,14,23,16,2,14,19
11825,7,14,21,14,3,12,24
11850,7,15,18,16,5,14,17
11875,7,16,21,14,4,17,16
11900,7,16,21,14,5,15,14
11925,7,19,16,16,4,15,17
11950,8,16,18,14,5,18,11
11975,9,16,19,15,4,16,13
12000,8,15,20,16,4,15,15
12025,10,13,22,13,3,15,15
12050,10,14,20,15,5,16,13
12075,8,14,20,16,5,19,12
12100,8,16,21,16,4,16,13
12125,9,14,17,14,4,16,15
12150,7,13,19,15,4,16,13
12175,7,17,21,15,6,16,11
12200,8,17,19,15,7,16,9
12225,8,16,19,14,3,16,14
12250,7,14,18,14,6,14,16
12275,6,16,18,12,5,15,15
12300,7,18,18,13,5,15,14
12325,7,17,20,14,4,17,12
12350,7,15,22,15,5,15,16
12375,6,12,21,16,5,17,17
12400,5,15,24,16,5,16,16
12425,5,14,22,15,4,15,18
12450,7,11,24,17,5,14,16
12475,6,13,25,16,5,14,18
