Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,interface
2500,12,16,24,7,0,2,4
2525,13,18,21,7,0,4,4
2550,13,15,21,9,0,2,5
2575,13,13,26,11,0,1,5
2600,12,13,26,10,0,2,3
2625,11,12,26,11,0,2,5
2650,13,13,25,11,0,3,4
2675,14,14,20,9,0,4,5
2700,16,15,19,11,0,2,4
2725,14,17,20,11,1,2,1
2750,13,14,24,11,1,2,3
2775,11,14,23,12,0,2,5
2800,12,15,19,12,0,2,4
2825,11,15,20,12,0,2,5
2850,12,13,24,13,0,4,4
2875,11,13,22,12,0,1,7
2900,10,16,24,8,0,2,6
2925,9,14,25,9,1,3,6
2950,9,16,21,11,2,2,8
2975,9,14,23,13,1,3,6
3000,10,18,21,11,0,2,6
3025,11,18,17,11,0,2,6
3050,11,17,21,11,0,3,4
3075,9,16,20,11,0,3,6
3100,9,16,24,11,0,3,5
3125,9,14,18,13,1,3,8
3150,9,17,18,11,0,4,8
3175,8,19,22,12,0,5,6
3200,8,17,22,14,0,3,9
3225,9,19,20,13,2,5,6
3250,8,18,21,13,3,4,7
3275,8,16,23,12,3,7,6
3300,7,21,22,11,1,5,7
3325,7,21,22,13,3,4,6
3350,9,19,17,13,1,4,8
3375,7,18,22,15,0,5,6
3400,7,20,20,13,1,5,8
3425,7,19,23,11,1,5,9
3450,6,21,23,13,0,5,9
3475,6,20,23,12,0,5,7
3500,6,19,22,12,0,5,8
3525,7,21,18,14,0,5,9
3550,7,19,22,12,0,5,6
3575,7,18,20,12,0,5,9
3600,8,18,21,11,0,6,8
3625,9,19,23,12,0,5,7
3650,7,20,20,12,0,7,6
3675,7,20,15,10,0,6,7
3700,9,18,17,10,0,6,9
3725,7,17,22,12,0,6,8
3750,6,18,26,11,0,7,6
3775,6,19,21,12,0,7,5
3800,7,19,20,11,1,6,6
3825,5,22,19,11,0,7,7
3850,10,23,15,10,1,8,5
3875,9,25,16,9,0,7,4
3900,10,26,14,9,0,8,3
3925,10,25,16,7,0,7,3
3950,9,22,15,9,0,7,9
3975,9,22,18,9,1,5,8
4000,9,21,18,8,1,6,9
4025,10,22,19,9,1,6,4
4050,10,23,14,8,1,5,7
4075,11,21,22,8,0,4,6
4100,9,26,19,10,0,5,6
4125,10,22,23,10,0,4,5
4150,10,24,20,9,0,4,8
4175,8,23,22,8,0,4,9
4200,10,23,17,7,0,4,9
4225,10,22,20,6,0,4,8
4250,9,24,17,7,1,4,10
4275,9,25,20,9,0,4,9
4300,10,22,21,11,0,6,7
4325,9,22,19,11,0,5,9
4350,10,24,17,7,0,5,9
4375,10,24,19,8,0,5,10
4400,10,24,15,8,0,5,9
4425,9,26,20,8,0,5,8
4450,9,25,17,9,1,5,7
4475,11,25,19,10,1,5,8
4500,11,24,22,10,1,5,10
4525,9,24,26,9,0,6,8
4550,10,22,19,9,1,6,12
4575,10,23,18,8,1,7,10
4600,10,23,22,12,0,6,11
4625,11,20,18,11,0,6,13
4650,11,21,16,12,0,7,14
4675,12,22,19,10,0,5,12
4700,9,21,18,11,0,6,15
4725,11,22,14,11,3,6,12
4750,11,23,18,10,1,6,9
4775,11,20,20,11,2,7,10
4800,11,21,18,11,1,6,9
4825,12,21,15,10,2,7,9
4850,11,22,19,11,1,6,7
4875,10,25,20,13,0,5,8
4900,10,25,17,12,1,6,8
4925,11,24,18,12,1,6,8
4950,13,25,17,11,0,6,8
4975,12,24,16,12,0,6,8
5000,10,23,19,12,0,6,10
5025,11,24,21,14,0,6,8
5050,10,21,21,11,2,7,8
5075,10,22,21,12,0,7,9
5100,11,22,21,9,0,7,9
5125,12,22,21,10,0,8,8
5150,13,20,16,10,0,7,12
5175,13,19,16,10,0,9,10
5200,14,20,18,10,0,8,9
5225,13,19,20,7,0,7,10
5250,13,18,18,8,2,7,10
5275,13,16,18,10,1,8,12
5300,10,18,18,11,0,9,12
5325,12,19,15,9,0,9,9
5350,12,19,17,9,0,8,12
5375,13,21,16,8,0,8,11
5400,12,20,19,9,0,7,11
5425,11,20,15,8,0,6,10
5450,11,19,17,8,0,7,13
5475,10,20,11,8,0,6,17
5500,10,19,17,9,0,7,14
5525,9,20,19,8,1,8,9
5550,10,20,15,8,2,7,13
5575,12,21,15,8,1,9,9
5600,12,20,17,7,0,7,12
5625,11,19,16,7,0,9,10
