Frame,minor_groove,major_groove,DNA_backbone,DNA_gap,histone_tail,histone_core,DNA-histone_interface
1000,13,13,20,2,0,6,15
1010,13,13,19,3,1,5,16
1020,15,13,19,5,0,7,13
1030,14,13,21,4,0,4,15
1040,12,13,16,4,0,7,15
1050,13,12,19,4,0,9,14
1060,12,11,22,6,0,8,14
1070,11,11,23,5,1,8,14
1080,12,10,20,6,0,9,12
1090,12,13,16,4,1,9,11
1100,9,12,23,6,1,7,14
1110,13,13,19,5,2,6,12
1120,12,13,19,5,1,7,13
1130,12,12,20,5,1,7,12
1140,11,11,18,6,1,7,12
1150,13,12,16,6,1,7,16
1160,12,13,19,5,1,7,12
1170,10,12,22,6,2,8,12
1180,12,13,21,4,2,7,10
1190,11,11,20,6,1,7,13
1200,12,12,22,5,1,8,11
1210,10,11,23,4,2,9,9
1220,8,12,19,4,1,7,13
1230,9,10,18,5,1,8,14
1240,10,11,22,5,1,7,10
1250,9,12,22,3,1,10,10
1260,10,10,23,6,1,8,11
1270,12,12,18,3,1,7,14
1280,9,12,21,3,1,8,11
1290,8,12,23,2,1,10,9
1300,11,12,20,3,1,8,13
1310,9,10,24,4,1,10,10
1320,8,13,20,4,2,8,12
1330,6,13,26,8,1,9,13
1340,10,16,20,4,1,9,11
1350,12,15,18,4,1,9,12
1360,11,16,19,4,1,10,10
1370,13,11,24,3,1,9,11
1380,12,14,18,3,1,11,10
1390,13,15,16,5,1,8,14
1400,15,12,16,5,1,9,14
1410,14,13,20,8,1,8,10
1420,13,12,16,4,1,9,10
1430,15,17,16,3,2,8,10
1440,13,13,18,6,1,8,12
1450,13,14,16,6,2,7,15
1460,12,15,17,4,2,9,12
1470,13,12,20,4,2,11,10
1480,13,14,17,3,2,9,11
1490,12,14,21,5,3,11,8
1500,12,13,19,5,1,11,11
1510,10,14,23,3,1,9,12
1520,10,13,19,5,2,12,10
1530,9,12,24,7,1,11,11
1540,12,16,20,3,2,9,12
1550,14,14,15,5,2,10,12
1560,12,16,14,5,3,10,13
1570,12,15,16,5,2,11,13
1580,12,15,17,5,2,11,15
1590,10,14,16,6,2,10,14
1600,9,19,18,4,2,10,14
1610,9,16,22,6,2,10,14
1620,9,15,20,7,2,10,14
1630,9,12,21,6,2,11,15
1640,10,15,18,7,1,11,15
1650,10,13,20,6,1,12,13
1660,12,14,20,4,1,12,11
1670,12,11,18,3,2,10,14
1680,11,11,19,5,1,10,14
1690,11,14,17,4,4,11,11
1700,12,14,14,2,1,10,13
1710,10,13,19,2,1,9,14
1720,9,16,23,2,2,10,12
1730,11,16,22,2,5,9,10
1740,11,13,24,3,3,8,14
1750,12,16,19,3,4,10,10
1760,11,17,16,2,2,10,14
1770,11,16,21,3,4,9,9
1780,10,16,22,4,3,9,11
1790,12,15,21,4,2,10,12
1800,12,14,20,3,3,10,11
1810,12,15,23,3,1,9,12
1820,11,11,23,3,1,7,18
1830,12,13,17,4,2,10,16
1840,12,12,20,3,2,10,15
1850,15,13,21,5,2,10,13
1860,11,15,20,4,2,10,12
1870,14,14,18,3,2,9,15
1880,11,15,20,3,2,10,15
1890,12,13,21,3,2,8,16
1900,11,15,17,3,1,9,15
1910,11,16,20,3,1,7,16
1920,9,14,19,6,1,7,18
1930,8,13,17,4,2,8,19
1940,10,13,20,4,2,9,16
1950,8,14,19,3,1,9,17
1960,8,15,20,3,1,8,18
1970,7,13,20,3,1,8,19
1980,8,14,20,3,1,7,19
1990,8,14,19,4,1,10,18
2000,7,13,22,4,1,10,18
2010,8,14,20,5,2,10,16
2020,9,13,18,4,1,10,19
2030,10,13,20,3,1,11,15
2040,10,16,19,4,2,11,16
2050,11,15,15,2,2,11,15
2060,11,15,13,2,2,11,15
2070,11,13,17,3,1,11,17
2080,10,13,20,4,2,9,15
2090,10,13,17,3,4,8,16
2100,10,13,19,3,2,10,14
2110,10,14,20,4,3,8,16
2120,10,12,19,1,4,10,16
2130,11,11,18,2,2,10,19
2140,11,15,15,1,2,11,15
2150,11,16,16,2,2,9,16
2160,10,11,18,2,3,11,16
2170,12,12,19,2,2,9,17
2180,11,12,15,1,2,10,17
2190,10,13,20,3,2,9,17
2200,10,11,20,1,2,10,19
2210,9,11,23,1,2,11,14
2220,9,10,22,1,2,10,15
2230,10,11,20,2,2,9,17
2240,10,12,17,2,2,10,18
2250,11,13,14,2,3,9,17
2260,11,13,16,2,2,9,18
2270,11,14,14,2,2,11,15
2280,11,13,14,2,2,9,19
2290,11,13,18,2,2,9,18
2300,11,13,17,2,2,11,15
2310,12,14,15,2,2,10,15
2320,10,14,15,4,2,12,14
2330,11,14,17,4,2,10,16
2340,9,14,18,3,2,12,13
2350,9,13,20,4,2,11,16
2360,9,9,14,6,2,10,19
2370,9,11,20,2,2,11,15
2380,8,12,20,4,2,12,13
2390,8,11,18,3,2,10,17
2400,8,13,17,3,2,11,14
2410,9,14,16,4,2,10,15
2420,9,14,17,2,3,9,14
2430,9,14,15,4,2,10,15
2440,9,10,18,2,2,9,17
2450,9,11,15,3,3,15,14
2460,9,8,19,4,2,12,16
2470,10,9,16,2,4,11,15
2480,9,9,18,4,2,12,15
2490,10,8,14,5,2,10,17
2500,10,9,16,2,2,14,14
2510,9,9,17,2,2,14,15
2520,9,8,16,1,3,12,16
2530,10,8,13,1,2,14,16
2540,9,10,14,1,2,11,18
2550,10,8,13,3,3,12,16
2560,9,9,14,1,3,12,18
2570,11,10,15,2,2,12,16
2580,11,9,15,2,2,11,18
2590,9,8,18,3,2,13,15
2600,11,9,16,1,4,13,16
2610,9,11,13,1,3,15,12
2620,8,9,18,2,4,15,12
2630,8,11,17,0,2,14,14
2640,6,10,20,1,2,15,13
2650,7,8,20,2,3,13,15
2660,8,6,18,1,2,16,15
2670,9,7,14,1,3,13,17
2680,9,8,17,2,3,15,12
2690,9,7,18,1,4,12,15
2700,10,8,15,3,3,10,17
2710,9,7,19,1,3,12,14
2720,8,9,21,2,3,13,12
2730,8,9,21,1,3,11,15
2740,8,7,21,2,2,12,16
2750,7,7,21,3,2,11,17
2760,9,7,16,2,2,9,20
2770,7,9,17,2,2,12,17
2780,8,8,20,2,1,9,21
2790,7,7,22,1,2,11,17
2800,6,9,19,1,2,8,22
2810,5,8,22,2,1,11,21
2820,7,8,20,1,1,12,18
2830,7,9,21,2,1,12,18
2840,8,11,17,2,3,10,20
2850,6,9,20,0,3,12,18
2860,8,10,18,1,2,12,19
2870,10,11,17,2,2,12,17
2880,9,12,17,1,2,14,15
2890,10,12,17,0,3,12,15
2900,9,9,19,1,2,11,18
2910,9,11,17,2,3,13,16
2920,10,11,18,3,1,14,16
2930,10,11,19,3,2,11,19
2940,9,11,17,3,2,12,18
2950,9,9,18,3,2,12,15
2960,6,11,18,3,2,13,16
2970,8,12,18,1,2,13,16
2980,8,13,17,3,2,13,17
2990,9,14,18,3,3,13,15
3000,10,13,14,2,4,13,18
3010,8,12,18,4,2,13,17
3020,7,14,16,3,2,13,15
3030,7,13,15,2,2,13,17
3040,9,13,14,3,1,12,17
3050,9,12,17,3,2,13,15
3060,8,14,17,3,2,14,15
3070,8,10,17,1,2,12,18
3080,8,13,16,2,2,12,16
3090,9,12,16,4,2,12,16
3100,8,11,20,2,2,14,12
3110,6,13,18,2,2,12,15
3120,6,14,19,2,2,12,14
3130,7,12,19,0,3,11,14
3140,7,12,14,4,4,13,13
3150,6,13,19,2,1,14,14
3160,6,12,21,3,1,12,16
3170,7,14,18,5,2,12,15
3180,5,11,22,3,2,11,19
3190,7,12,22,3,2,11,16
3200,6,13,18,1,2,12,16
3210,5,14,19,2,2,12,15
3220,6,14,21,2,2,12,14
3230,6,11,19,2,1,13,15
3240,7,14,13,1,1,14,17
3250,7,13,20,1,3,12,16
3260,8,13,19,2,3,15,13
3270,6,12,22,2,3,13,15
3280,7,15,19,4,1,13,16
3290,8,13,20,2,1,12,14
3300,7,12,24,1,1,12,15
3310,8,11,20,4,1,11,19
3320,8,13,23,3,1,11,17
3330,7,15,21,2,1,14,13
3340,6,14,25,2,1,13,14
3350,5,14,22,2,3,9,18
3360,6,13,26,2,2,10,16
3370,6,13,24,4,3,10,18
3380,7,15,23,3,2,10,17
3390,5,14,23,4,2,10,18
3400,6,12,21,4,1,10,22
3410,6,14,23,2,3,12,17
3420,10,13,21,3,1,12,17
3430,9,13,23,5,2,14,17
3440,8,14,22,2,2,13,15
3450,7,16,21,4,3,13,13
3460,7,14,25,5,2,12,12
3470,10,14,25,3,1,14,12
3480,9,14,21,3,2,13,17
3490,10,12,22,3,1,12,18
3500,11,13,22,2,1,13,17
3510,11,13,18,2,1,14,20
3520,9,10,17,2,1,15,23
3530,10,16,16,1,1,14,18
3540,7,12,19,3,1,15,19
3550,8,15,19,2,2,15,14
3560,7,13,22,3,1,15,16
3570,10,13,16,2,2,14,15
3580,9,15,19,1,1,13,18
3590,10,14,15,0,2,14,15
3600,9,16,16,2,1,13,18
3610,9,15,16,1,1,13,20
3620,10,16,10,1,1,12,22
3630,10,16,14,2,2,13,19
3640,8,14,22,2,1,12,18
3650,7,16,18,3,1,12,19
3660,5,19,17,2,1,14,18
3670,5,16,18,2,1,15,21
3680,6,14,18,1,1,15,20
3690,5,12,24,3,1,14,18
3700,5,17,23,1,1,13,18
3710,4,17,20,2,1,14,19
3720,5,17,15,3,2,13,20
3730,5,18,20,3,1,15,17
3740,5,16,18,3,2,15,19
3750,6,16,18,1,3,12,20
3760,7,18,18,1,3,12,18
3770,6,14,18,2,1,13,19
3780,5,16,18,2,1,12,19
3790,6,16,16,1,1,13,22
3800,6,17,17,2,1,13,17
3810,6,16,17,2,1,12,19
3820,6,17,19,2,1,12,19
3830,6,15,18,2,1,11,24
3840,4,15,21,2,1,11,23
3850,6,15,20,1,2,11,22
3860,6,14,23,1,1,10,25
3870,7,15,23,0,1,10,21
3880,6,14,22,1,1,11,24
3890,5,13,19,1,1,10,25
