Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
2500,11,13,21,45,5,1,5,2,5,5,8,58,130
2525,11,14,18,43,8,2,5,2,6,7,8,58,130
2550,11,15,18,44,7,0,5,2,5,5,8,57,131
2575,10,15,15,41,10,1,5,2,5,5,11,57,131
2600,9,15,17,41,9,0,5,2,5,5,9,55,133
2625,10,17,17,44,9,1,5,2,5,5,9,58,130
2650,10,15,17,42,8,1,5,2,5,5,10,57,131
2675,8,16,18,42,8,1,5,2,5,5,10,57,131
2700,10,15,18,44,8,1,5,2,5,5,9,58,130
2725,10,15,22,47,6,2,5,2,6,6,7,60,128
2750,8,14,18,40,7,0,5,2,5,5,10,55,133
2775,7,14,18,40,5,2,6,2,7,8,9,57,131
2800,8,14,20,42,6,0,5,2,5,5,10,57,131
2825,8,14,19,42,6,1,6,2,6,6,10,58,130
2850,7,12,24,43,9,1,5,2,5,5,10,58,130
2875,7,12,24,44,7,1,6,2,6,6,10,60,128
2900,6,12,29,47,9,1,5,2,5,5,8,60,128
2925,7,12,23,42,9,2,5,2,5,6,11,59,129
2950,9,8,19,37,8,3,5,2,6,7,9,53,135
2975,9,9,23,41,8,1,5,2,6,6,10,57,131
3000,9,10,22,41,7,1,5,2,6,6,12,59,129
3025,9,14,20,43,8,0,5,2,5,5,8,56,132
3050,9,14,20,43,8,1,7,2,8,8,7,58,130
3075,10,13,19,43,7,3,7,2,8,8,9,60,128
3100,8,14,21,43,6,1,6,2,6,6,9,58,130
3125,10,13,21,44,7,0,6,2,6,6,10,60,128
3150,11,11,22,44,8,1,7,2,8,8,8,60,128
3175,9,13,21,43,8,0,7,2,7,7,10,60,128
3200,7,11,25,43,7,2,7,2,8,8,8,59,129
3225,8,14,20,42,9,1,7,2,8,8,8,58,130
3250,7,12,21,40,10,1,7,2,8,8,9,57,131
3275,8,11,24,43,9,1,7,2,8,8,8,59,129
3300,8,14,25,47,8,2,7,2,8,8,7,62,126
3325,6,10,29,44,10,4,8,2,9,10,7,61,127
3350,7,11,25,43,12,1,8,2,8,8,10,61,127
3375,9,9,25,43,11,2,7,2,9,9,7,59,129
3400,9,10,24,43,11,3,6,2,9,9,10,62,126
3425,9,8,26,43,10,1,6,2,7,7,12,62,126
3450,8,10,23,42,9,1,6,2,7,7,9,58,130
3475,6,10,28,44,13,2,6,2,8,8,9,61,127
3500,5,10,30,44,10,2,7,2,9,9,8,61,127
3525,4,11,28,43,11,2,7,2,9,9,9,61,127
3550,3,12,27,42,10,3,8,2,8,10,10,62,126
3575,3,11,26,40,9,4,8,2,10,11,8,59,129
3600,2,11,30,43,10,5,8,3,10,12,8,63,125
3625,4,11,21,36,12,4,9,3,9,12,11,59,129
3650,5,11,22,37,11,4,8,3,9,10,12,59,129
3675,4,11,24,38,10,3,9,3,9,11,10,59,129
3700,4,12,21,36,11,2,8,3,10,10,12,58,130
3725,4,13,24,41,11,2,7,3,9,9,9,59,129
3750,4,11,24,38,12,3,8,3,10,11,11,60,128
3775,4,11,29,44,13,3,7,3,10,10,8,62,126
3800,4,11,29,44,13,3,8,3,11,11,8,63,125
3825,4,11,30,45,12,4,7,3,10,10,7,62,126
3850,3,12,27,42,13,2,8,3,9,10,11,63,125
3875,2,13,31,46,13,2,8,3,10,10,9,65,123
3900,4,12,28,44,10,2,9,3,9,10,11,65,123
3925,4,13,29,46,12,2,7,3,9,9,11,66,122
3950,7,12,28,47,13,2,7,3,9,9,10,66,122
3975,8,11,26,45,14,1,7,3,8,8,11,64,124
4000,7,9,27,43,15,3,7,3,9,10,12,65,123
4025,7,11,27,45,15,2,8,3,9,10,10,65,123
4050,7,14,21,42,11,2,8,3,10,10,11,63,125
4075,7,15,26,48,12,1,7,3,8,8,11,67,121
4100,6,14,27,47,10,3,8,3,11,11,7,65,123
4125,7,11,26,44,12,3,8,3,11,11,9,64,124
4150,7,11,24,42,13,3,10,4,13,13,11,66,122
4175,7,13,21,41,13,2,10,4,11,12,11,64,124
4200,7,11,27,45,15,2,8,3,9,10,11,66,122
4225,7,11,23,41,14,3,9,3,10,12,13,66,122
4250,6,13,24,43,13,2,9,3,10,11,11,65,123
4275,7,14,21,42,13,2,9,3,10,11,11,64,124
4300,6,12,23,42,12,3,8,3,10,11,12,65,123
4325,7,11,24,42,13,1,9,3,10,10,13,65,123
4350,8,12,24,44,16,1,9,3,10,10,14,68,120
4375,8,11,22,41,13,3,10,3,13,13,9,63,125
4400,8,11,22,41,10,0,10,3,10,10,15,66,122
4425,9,12,22,43,10,2,10,3,11,12,11,66,122
4450,9,13,21,43,12,1,10,3,10,11,12,66,122
4475,9,14,20,43,13,2,11,3,12,13,8,64,124
4500,9,12,16,37,11,4,11,3,13,15,11,63,125
4525,9,12,15,36,13,2,12,3,13,14,14,64,124
4550,9,12,18,39,14,3,11,3,13,14,13,66,122
4575,10,14,18,42,13,1,11,3,12,12,11,65,123
4600,10,14,16,40,10,1,12,3,13,13,10,63,125
4625,9,14,16,39,11,0,13,3,12,13,12,64,124
4650,9,14,19,42,10,3,12,3,13,15,8,65,123
4675,10,15,17,42,10,2,12,3,13,14,9,65,123
4700,9,15,19,43,10,3,12,3,13,15,8,66,122
4725,7,16,19,42,10,3,11,3,13,14,9,65,123
4750,10,18,15,42,10,3,10,3,11,13,9,64,124
4775,9,16,17,42,9,3,10,3,11,13,10,65,123
4800,9,17,18,44,9,1,12,3,12,13,10,67,121
4825,10,17,15,42,9,3,11,3,12,14,9,65,123
4850,9,16,18,43,10,3,11,3,12,14,10,67,121
4875,9,14,21,44,11,2,11,3,12,13,11,68,120
4900,9,14,17,40,11,4,11,3,13,15,10,65,123
4925,7,14,19,40,11,2,10,3,11,12,12,64,124
4950,9,15,21,45,12,1,13,3,13,14,10,69,119
4975,7,13,21,41,15,3,14,3,14,16,10,67,121
5000,8,13,23,44,13,3,14,3,13,16,9,69,119
5025,7,14,20,41,16,2,12,3,14,14,12,67,121
5050,8,15,15,38,14,2,14,3,15,16,10,64,124
5075,7,16,19,42,15,4,11,3,14,15,11,68,120
5100,7,13,18,39,16,1,13,3,13,14,12,65,123
5125,8,18,19,45,12,1,14,3,13,15,9,69,119
5150,9,16,18,43,17,1,13,3,13,14,10,67,121
5175,9,16,17,42,13,2,13,3,14,15,10,67,121
5200,8,14,23,45,16,2,13,3,14,15,10,70,118
5225,10,15,19,44,13,3,11,3,13,14,10,68,120
5250,7,10,29,46,17,2,12,3,14,14,10,70,118
5275,7,12,21,40,16,3,12,3,13,14,13,67,121
5300,6,12,25,43,18,2,12,3,12,13,13,69,119
5325,8,13,19,40,15,3,11,3,12,13,10,63,125
5350,8,11,23,42,14,4,11,3,12,14,8,64,124
5375,9,14,21,44,14,4,11,3,12,14,8,66,122
5400,9,14,21,44,15,3,11,3,12,13,9,66,122
5425,8,14,19,41,12,4,11,3,13,14,10,65,123
5450,10,12,19,41,13,4,14,4,16,17,9,67,121
5475,9,12,21,42,15,4,13,4,15,16,11,69,119
5500,10,10,19,39,12,4,12,3,13,15,10,64,124
5525,10,11,19,40,13,5,12,4,14,16,10,66,122
5550,11,10,23,44,13,4,13,4,15,16,8,68,120
5575,10,12,21,43,14,5,11,3,14,16,8,67,121
5600,10,12,21,42,14,4,11,3,14,15,9,66,122
5625,11,10,21,42,14,4,9,3,13,13,10,65,123
5650,11,12,21,44,14,5,9,3,13,14,11,69,119
5675,11,12,22,45,17,4,10,4,14,14,10,69,119
5700,11,13,22,46,13,4,10,3,12,14,10,70,118
5725,10,15,18,42,13,4,9,3,13,13,12,67,121
5750,11,15,16,43,14,4,10,3,13,13,11,67,121
5775,11,17,16,44,15,5,10,3,14,15,10,69,119
5800,10,15,19,44,13,4,10,3,12,13,12,69,119
5825,11,14,18,43,12,5,12,3,15,16,9,68,120
5850,9,11,20,40,13,4,10,3,13,14,11,65,123
5875,8,15,20,43,11,5,11,4,15,16,10,69,119
5900,9,13,19,41,13,4,12,4,16,16,6,63,125
5925,10,12,26,49,13,5,12,3,15,17,6,72,116
5950,10,15,18,43,13,5,11,3,15,16,9,68,120
5975,10,14,22,46,15,4,12,3,15,16,9,71,117
6000,10,15,21,46,14,4,12,4,16,16,10,72,116
6025,10,13,21,44,13,4,11,3,14,15,9,68,120
6050,10,12,25,46,15,4,11,4,15,15,10,71,117
6075,9,12,24,45,14,5,12,3,15,17,7,69,119
6100,10,15,20,45,10,4,12,3,15,16,8,69,119
6125,9,15,22,46,11,5,13,4,17,18,7,71,117
6150,8,14,25,47,14,6,12,3,16,18,7,72,116
6175,9,12,23,44,14,6,13,3,16,19,7,70,118
6200,11,12,20,43,14,5,13,3,16,18,8,69,119
6225,10,11,22,43,9,4,13,3,17,17,10,70,118
6250,11,11,22,44,11,4,13,3,16,17,9,70,118
6275,11,12,21,44,11,4,14,3,17,18,9,71,117
6300,12,11,19,42,10,5,14,3,17,19,6,67,121
6325,12,9,21,42,12,4,14,3,18,18,7,67,121
6350,12,9,20,41,11,4,12,3,16,16,7,64,124
6375,12,12,21,45,11,5,11,3,15,16,9,70,118
6400,13,12,19,44,11,5,13,3,16,18,7,69,119
6425,13,11,18,42,11,5,12,3,16,17,8,67,121
6450,11,13,18,42,10,4,13,3,16,17,8,67,121
6475,9,15,20,44,11,5,13,3,17,18,8,70,118
6500,11,14,22,47,12,5,12,3,15,17,8,72,116
6525,10,14,20,44,13,5,13,4,17,18,8,70,118
6550,11,11,21,43,12,4,13,3,17,17,7,67,121
6575,10,11,23,44,10,5,13,3,17,18,7,69,119
6600,11,13,18,42,10,5,12,3,16,17,10,69,119
6625,11,15,18,44,10,5,13,4,17,18,9,71,117
6650,11,14,20,45,12,4,13,3,17,17,9,71,117
6675,9,13,19,41,12,3,13,3,16,16,12,69,119
6700,9,10,24,43,10,4,14,3,17,18,8,69,119
6725,9,12,21,42,9,4,13,3,16,17,9,68,120
6750,9,13,21,43,11,3,13,3,16,16,10,69,119
6775,9,13,22,44,11,4,14,3,17,18,9,71,117
6800,9,13,19,41,11,4,12,3,15,16,12,69,119
6825,9,15,20,44,14,5,13,3,17,18,9,71,117
6850,8,10,25,43,13,3,14,3,16,17,10,70,118
6875,9,14,19,42,13,3,14,3,15,17,10,69,119
6900,9,14,19,42,12,3,15,3,17,18,9,69,119
6925,8,14,22,44,11,4,13,3,16,17,8,69,119
6950,8,16,18,42,12,3,14,3,16,17,11,70,118
6975,11,15,19,45,11,3,13,3,15,16,9,70,118
7000,11,13,22,46,11,4,13,3,15,17,8,71,117
7025,11,14,21,46,13,2,13,3,14,15,10,71,117
7050,11,14,19,44,14,2,12,3,12,14,11,69,119
7075,11,16,17,44,11,2,14,3,14,16,10,70,118
7100,10,13,21,44,14,1,13,4,13,14,13,71,117
7125,9,15,21,45,13,1,11,3,11,12,13,70,118
7150,10,13,25,48,14,3,14,3,16,17,8,73,115
7175,8,10,28,46,17,1,14,3,13,15,11,72,116
7200,10,11,24,45,15,1,14,3,13,15,11,71,117
7225,11,14,20,45,13,2,15,3,15,17,9,71,117
7250,11,11,21,43,13,2,16,3,16,18,10,71,117
7275,10,11,26,47,14,3,15,4,16,18,8,73,115
7300,10,14,21,46,14,2,15,3,15,16,12,74,114
7325,10,10,26,46,17,0,13,3,13,13,15,74,114
7350,8,12,22,43,13,1,13,3,13,14,11,68,120
7375,9,11,23,43,15,0,15,3,15,15,12,70,118
7400,11,12,21,44,14,3,15,3,15,18,12,74,114
7425,12,12,23,47,15,0,14,3,14,14,13,74,114
7450,12,15,18,45,12,0,15,3,15,15,12,72,116
7475,12,15,17,44,12,1,14,3,14,15,13,72,116
7500,12,13,20,45,15,0,16,3,16,16,12,73,115
7525,12,12,17,41,13,0,15,3,15,15,14,70,118
7550,12,12,20,44,12,0,16,3,16,16,14,74,114
7575,10,11,21,42,15,1,16,3,16,17,13,72,116
7600,11,13,17,40,15,0,16,3,15,16,12,68,120
7625,10,13,19,42,16,0,12,3,11,12,14,68,120
7650,12,12,16,40,12,0,14,3,13,14,14,68,120
7675,12,12,18,42,13,2,13,3,12,15,16,73,115
7700,11,13,18,42,15,1,14,3,13,15,13,70,118
7725,10,15,19,44,13,2,15,3,16,17,9,70,118
