Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
2500,9,15,16,39,6,0,5,2,5,5,7,51,137
2525,11,15,13,39,4,1,4,3,4,5,7,51,137
2550,8,17,15,40,7,0,6,2,5,6,6,52,136
2575,10,17,15,42,4,0,6,3,6,6,4,52,136
2600,12,19,11,42,3,0,6,3,6,6,6,54,134
2625,10,19,12,41,6,0,7,3,6,7,4,52,136
2650,10,19,15,44,7,1,6,2,6,6,4,54,134
2675,11,18,15,44,7,2,6,3,6,7,3,54,134
2700,10,19,20,49,4,0,6,3,6,6,3,58,130
2725,9,20,18,47,6,1,6,3,6,6,4,57,131
2750,9,21,16,46,4,3,6,3,6,8,4,58,130
2775,9,18,17,44,7,0,5,3,5,5,6,55,133
2800,10,18,18,46,5,0,4,3,4,4,7,57,131
2825,10,18,19,47,7,0,4,3,4,4,6,57,131
2850,9,19,16,44,6,1,5,3,4,5,6,55,133
2875,8,20,20,48,7,0,6,3,6,6,6,60,128
2900,7,20,21,48,6,0,7,3,6,7,5,60,128
2925,8,17,19,44,5,0,7,3,7,7,5,56,132
2950,9,20,18,47,5,2,5,3,5,7,4,58,130
2975,8,22,19,49,6,1,5,2,5,6,3,58,130
3000,10,21,15,46,5,1,6,3,6,7,5,58,130
3025,11,22,19,52,8,0,5,2,5,5,6,63,125
3050,10,21,23,54,6,1,5,3,5,6,5,65,123
3075,12,20,18,50,5,0,5,2,5,5,8,63,125
3100,11,20,18,49,6,0,6,2,6,6,5,60,128
3125,13,21,18,52,4,0,5,3,5,5,6,63,125
3150,15,20,17,52,6,0,5,3,5,5,6,63,125
3175,13,19,17,49,4,0,5,3,5,5,9,63,125
3200,15,21,15,51,6,0,5,2,5,5,6,62,126
3225,13,20,20,53,5,1,5,3,6,6,6,65,123
3250,13,17,17,47,4,1,4,2,4,5,9,61,127
3275,14,20,13,47,4,0,5,3,5,5,7,59,129
3300,13,20,12,45,2,0,5,3,5,5,8,58,130
3325,13,20,16,49,2,1,5,2,6,6,9,64,124
3350,13,19,17,49,5,1,5,2,6,6,9,64,124
3375,11,20,20,51,6,0,6,3,5,6,9,66,122
3400,13,20,18,51,7,0,6,3,5,6,6,63,125
3425,14,18,16,48,8,0,6,3,5,6,8,62,126
3450,14,20,14,48,5,0,6,3,5,6,8,62,126
3475,14,18,15,47,7,0,4,3,4,4,10,61,127
3500,15,19,12,46,6,0,5,3,5,5,9,60,128
3525,13,18,17,48,7,1,5,2,5,6,11,65,123
3550,11,20,14,45,8,0,5,2,4,5,9,59,129
3575,12,20,17,50,8,0,5,2,4,5,7,62,126
3600,11,19,17,49,7,0,5,2,4,5,7,61,127
3625,12,20,15,47,7,0,6,2,5,6,6,59,129
3650,11,19,17,47,8,1,5,2,4,6,8,61,127
3675,13,18,18,49,6,0,6,1,4,6,6,61,127
3700,11,17,20,48,9,0,5,1,5,5,8,61,127
3725,12,20,17,49,12,1,6,1,5,7,5,61,127
3750,11,20,16,47,11,0,4,1,4,4,9,60,128
3775,12,18,18,48,8,1,6,1,6,7,7,62,126
3800,11,19,14,44,8,1,5,1,6,6,6,56,132
3825,13,17,17,47,7,0,5,2,4,5,9,61,127
3850,13,17,14,44,6,1,8,1,6,9,8,61,127
