Frame,System,Number
0,MG_15mM_1264_wo_rw_run2,0
1,MG_15mM_1264_wo_rw_run2,0
2,MG_15mM_1264_wo_rw_run2,0
3,MG_15mM_1264_wo_rw_run2,0
4,MG_15mM_1264_wo_rw_run2,0
5,MG_15mM_1264_wo_rw_run2,0
6,MG_15mM_1264_wo_rw_run2,0
7,MG_15mM_1264_wo_rw_run2,0
8,MG_15mM_1264_wo_rw_run2,0
9,MG_15mM_1264_wo_rw_run2,0
10,MG_15mM_1264_wo_rw_run2,0
11,MG_15mM_1264_wo_rw_run2,0
12,MG_15mM_1264_wo_rw_run2,0
13,MG_15mM_1264_wo_rw_run2,0
14,MG_15mM_1264_wo_rw_run2,0
15,MG_15mM_1264_wo_rw_run2,0
16,MG_15mM_1264_wo_rw_run2,0
17,MG_15mM_1264_wo_rw_run2,0
18,MG_15mM_1264_wo_rw_run2,0
19,MG_15mM_1264_wo_rw_run2,0
20,MG_15mM_1264_wo_rw_run2,0
21,MG_15mM_1264_wo_rw_run2,0
22,MG_15mM_1264_wo_rw_run2,0
23,MG_15mM_1264_wo_rw_run2,0
24,MG_15mM_1264_wo_rw_run2,0
25,MG_15mM_1264_wo_rw_run2,0
26,MG_15mM_1264_wo_rw_run2,3
27,MG_15mM_1264_wo_rw_run2,1
28,MG_15mM_1264_wo_rw_run2,0
29,MG_15mM_1264_wo_rw_run2,0
30,MG_15mM_1264_wo_rw_run2,0
31,MG_15mM_1264_wo_rw_run2,0
32,MG_15mM_1264_wo_rw_run2,0
33,MG_15mM_1264_wo_rw_run2,0
34,MG_15mM_1264_wo_rw_run2,0
35,MG_15mM_1264_wo_rw_run2,0
36,MG_15mM_1264_wo_rw_run2,0
37,MG_15mM_1264_wo_rw_run2,0
38,MG_15mM_1264_wo_rw_run2,0
39,MG_15mM_1264_wo_rw_run2,1
40,MG_15mM_1264_wo_rw_run2,1
41,MG_15mM_1264_wo_rw_run2,0
42,MG_15mM_1264_wo_rw_run2,0
43,MG_15mM_1264_wo_rw_run2,0
44,MG_15mM_1264_wo_rw_run2,0
45,MG_15mM_1264_wo_rw_run2,0
46,MG_15mM_1264_wo_rw_run2,0
47,MG_15mM_1264_wo_rw_run2,0
48,MG_15mM_1264_wo_rw_run2,0
49,MG_15mM_1264_wo_rw_run2,0
50,MG_15mM_1264_wo_rw_run2,0
51,MG_15mM_1264_wo_rw_run2,0
52,MG_15mM_1264_wo_rw_run2,0
53,MG_15mM_1264_wo_rw_run2,0
54,MG_15mM_1264_wo_rw_run2,0
55,MG_15mM_1264_wo_rw_run2,0
56,MG_15mM_1264_wo_rw_run2,0
57,MG_15mM_1264_wo_rw_run2,0
58,MG_15mM_1264_wo_rw_run2,0
59,MG_15mM_1264_wo_rw_run2,0
60,MG_15mM_1264_wo_rw_run2,0
61,MG_15mM_1264_wo_rw_run2,0
62,MG_15mM_1264_wo_rw_run2,0
63,MG_15mM_1264_wo_rw_run2,0
64,MG_15mM_1264_wo_rw_run2,0
65,MG_15mM_1264_wo_rw_run2,0
66,MG_15mM_1264_wo_rw_run2,0
67,MG_15mM_1264_wo_rw_run2,0
68,MG_15mM_1264_wo_rw_run2,0
69,MG_15mM_1264_wo_rw_run2,0
70,MG_15mM_1264_wo_rw_run2,0
71,MG_15mM_1264_wo_rw_run2,0
72,MG_15mM_1264_wo_rw_run2,0
73,MG_15mM_1264_wo_rw_run2,0
74,MG_15mM_1264_wo_rw_run2,0
75,MG_15mM_1264_wo_rw_run2,0
76,MG_15mM_1264_wo_rw_run2,0
77,MG_15mM_1264_wo_rw_run2,0
78,MG_15mM_1264_wo_rw_run2,0
79,MG_15mM_1264_wo_rw_run2,0
80,MG_15mM_1264_wo_rw_run2,0
81,MG_15mM_1264_wo_rw_run2,0
82,MG_15mM_1264_wo_rw_run2,0
83,MG_15mM_1264_wo_rw_run2,0
84,MG_15mM_1264_wo_rw_run2,0
85,MG_15mM_1264_wo_rw_run2,0
86,MG_15mM_1264_wo_rw_run2,0
87,MG_15mM_1264_wo_rw_run2,0
88,MG_15mM_1264_wo_rw_run2,3
89,MG_15mM_1264_wo_rw_run2,0
90,MG_15mM_1264_wo_rw_run2,4
91,MG_15mM_1264_wo_rw_run2,0
92,MG_15mM_1264_wo_rw_run2,0
93,MG_15mM_1264_wo_rw_run2,0
94,MG_15mM_1264_wo_rw_run2,0
95,MG_15mM_1264_wo_rw_run2,0
96,MG_15mM_1264_wo_rw_run2,1
97,MG_15mM_1264_wo_rw_run2,0
98,MG_15mM_1264_wo_rw_run2,0
99,MG_15mM_1264_wo_rw_run2,1
100,MG_15mM_1264_wo_rw_run2,1
101,MG_15mM_1264_wo_rw_run2,0
102,MG_15mM_1264_wo_rw_run2,1
103,MG_15mM_1264_wo_rw_run2,0
104,MG_15mM_1264_wo_rw_run2,0
105,MG_15mM_1264_wo_rw_run2,0
106,MG_15mM_1264_wo_rw_run2,0
107,MG_15mM_1264_wo_rw_run2,0
108,MG_15mM_1264_wo_rw_run2,0
109,MG_15mM_1264_wo_rw_run2,0
110,MG_15mM_1264_wo_rw_run2,0
111,MG_15mM_1264_wo_rw_run2,0
112,MG_15mM_1264_wo_rw_run2,1
113,MG_15mM_1264_wo_rw_run2,1
114,MG_15mM_1264_wo_rw_run2,1
115,MG_15mM_1264_wo_rw_run2,0
116,MG_15mM_1264_wo_rw_run2,0
117,MG_15mM_1264_wo_rw_run2,0
118,MG_15mM_1264_wo_rw_run2,0
119,MG_15mM_1264_wo_rw_run2,1
120,MG_15mM_1264_wo_rw_run2,0
121,MG_15mM_1264_wo_rw_run2,0
122,MG_15mM_1264_wo_rw_run2,0
123,MG_15mM_1264_wo_rw_run2,0
124,MG_15mM_1264_wo_rw_run2,5
125,MG_15mM_1264_wo_rw_run2,0
126,MG_15mM_1264_wo_rw_run2,0
127,MG_15mM_1264_wo_rw_run2,0
128,MG_15mM_1264_wo_rw_run2,0
129,MG_15mM_1264_wo_rw_run2,0
130,MG_15mM_1264_wo_rw_run2,0
131,MG_15mM_1264_wo_rw_run2,0
