system,h_avg,delta_h,r_avg,delta_r,Youngs_modulus
NaCl_1264_wo_run1_part0,54.168,0.613,54.125,0.288,10.448
NaCl_1264_wo_run1_part1,54.387,0.602,54.247,0.267,11.371
NaCl_1264_wo_run1_part2,53.875,0.677,54.27,0.267,9.923
NaCl_1264_wo_run1_part3,54.222,0.653,54.329,0.261,10.562
NaCl_1264_wo_run1_part4,54.077,0.674,54.466,0.335,8.148
NaCl_1264_wo_run1_part5,54.566,0.591,54.326,0.3,10.433
NaCl_1264_wo_run1_part6,54.747,0.653,54.317,0.269,10.326
NaCl_1264_wo_run1_part7,55.117,0.557,54.339,0.262,12.623
NaCl_1264_wo_run1_part8,54.896,0.554,54.403,0.286,11.674
NaCl_1264_wo_run1_part9,54.638,0.538,54.368,0.298,11.533
NaCl_1264_wo_run1_part10,54.182,0.477,54.372,0.281,13.766
NaCl_1264_wo_run1_part11,54.116,0.554,54.416,0.278,11.991
NaCl_1264_wo_run1_part12,54.197,0.523,54.435,0.273,12.902
NaCl_1264_wo_run1_part13,54.389,0.513,54.417,0.271,13.305
NaCl_1264_wo_run1_part14,54.424,0.574,54.467,0.246,12.872
NaCl_1264_wo_run1_part15,54.522,0.669,54.444,0.24,10.942
NaCl_1264_wo_run1_part16,54.494,0.533,54.588,0.323,10.666
NaCl_1264_wo_run1_part17,54.504,0.597,54.62,0.311,9.907
NaCl_1264_wo_run1_part18,54.774,0.648,54.643,0.271,10.265
NaCl_1264_wo_run1_part19,55.282,0.607,54.497,0.286,10.587
NaCl_1264_wo_run1_part20,55.292,0.668,54.541,0.346,7.97
NaCl_1264_wo_run1_part21,55.117,0.747,54.521,0.345,7.101
NaCl_1264_wo_run1_part22,54.757,0.582,54.414,0.311,10.215
NaCl_1264_wo_run1_part23,54.354,0.57,54.796,0.331,9.734
NaCl_1264_wo_run1_part24,54.796,0.577,54.976,0.339,9.338
NaCl_1264_wo_run2_part0,54.039,0.687,54.342,0.285,9.223
NaCl_1264_wo_run2_part1,53.742,0.506,54.624,0.303,12.007
NaCl_1264_wo_run2_part2,53.972,0.608,54.459,0.277,10.829
NaCl_1264_wo_run2_part3,54.486,0.693,54.417,0.307,8.561
NaCl_1264_wo_run2_part4,54.766,0.639,54.38,0.274,10.407
NaCl_1264_wo_run2_part5,54.871,0.563,54.23,0.282,11.647
NaCl_1264_wo_run2_part6,55.297,0.695,54.244,0.303,8.704
NaCl_1264_wo_run2_part7,54.378,0.68,54.255,0.268,9.883
NaCl_1264_wo_run2_part8,54.504,0.66,54.378,0.295,9.393
NaCl_1264_wo_run2_part9,54.196,0.565,54.629,0.264,12.243
NaCl_1264_wo_run2_part10,54.484,0.668,54.661,0.256,10.356
NaCl_1264_wo_run2_part11,54.543,0.648,54.339,0.268,10.419
NaCl_1264_wo_run2_part12,54.619,0.875,54.282,0.33,6.172
NaCl_1264_wo_run2_part13,53.69,0.679,54.42,0.336,8.072
NaCl_1264_wo_run2_part14,53.385,0.627,54.495,0.273,10.579
NaCl_1264_wo_run2_part15,54.087,0.561,54.335,0.319,10.334
NaCl_1264_wo_run2_part16,53.996,0.509,54.566,0.286,12.677
NaCl_1264_wo_run2_part17,53.865,0.595,54.512,0.293,10.552
NaCl_1264_wo_run2_part18,54.146,0.693,54.457,0.288,9.054
NaCl_1264_wo_run2_part19,54.704,0.698,54.419,0.273,9.403
NaCl_1264_wo_run2_part20,54.342,0.663,54.468,0.304,9.072
NaCl_1264_wo_run2_part21,54.25,0.58,54.567,0.291,10.872
NaCl_1264_wo_run2_part22,55.056,0.627,54.591,0.302,9.687
NaCl_1264_wo_run2_part23,54.894,0.8,54.461,0.29,7.599
NaCl_1264_wo_run2_part24,54.173,0.543,54.441,0.283,12.016
NaCl_1264_wo_run3_part0,54.241,0.56,54.191,0.325,10.18
NaCl_1264_wo_run3_part1,53.763,0.566,54.343,0.277,11.739
NaCl_1264_wo_run3_part2,54.282,0.616,54.183,0.394,7.592
NaCl_1264_wo_run3_part3,54.869,0.72,54.086,0.321,7.959
NaCl_1264_wo_run3_part4,54.317,0.586,54.578,0.353,8.907
NaCl_1264_wo_run3_part5,54.206,0.572,54.677,0.301,10.653
NaCl_1264_wo_run3_part6,53.996,0.646,54.557,0.253,10.92
NaCl_1264_wo_run3_part7,53.612,0.609,54.732,0.31,9.711
NaCl_1264_wo_run3_part8,53.619,0.524,54.518,0.301,11.699
NaCl_1264_wo_run3_part9,54.625,0.701,54.439,0.288,8.939
NaCl_1264_wo_run3_part10,53.786,0.615,54.506,0.31,9.643
NaCl_1264_wo_run3_part11,54.124,0.601,54.534,0.258,11.669
NaCl_1264_wo_run3_part12,54.382,0.512,54.442,0.31,11.632
NaCl_1264_wo_run3_part13,54.349,0.561,54.365,0.298,11.086
NaCl_1264_wo_run3_part14,54.888,0.679,54.074,0.295,9.15
NaCl_1264_wo_run3_part15,54.61,0.744,54.302,0.318,7.698
